po_id,order_date,promised_delivery_date,actual_delivery_date,supplier_id,supplier_name,supplier_country,category,item,business_unit,unit_price,quantity,line_total,payment_terms,on_contract,quality_rejected
PO-2023-00441,2023-01-01,2023-01-09,2023-01-11,SUP-038,Bergmann MRO Services,Germany,MRO,Safety Gloves (per 100),Manufacturing,102.23,22,2249.06,Net 45,True,False
PO-2023-00598,2023-01-01,2023-01-27,2023-01-27,SUP-053,Sterling Shipping Lines,USA,Logistics,Ocean Container (40ft),Retail Operations,3271.58,2,6543.16,Net 30,True,False
PO-2023-00300,2023-01-01,2023-01-09,2023-01-09,SUP-022,Redwood Components,USA,Electronics,Power Supply Unit 450W,Retail Operations,60.25,179,10784.75,Net 15,True,False
PO-2023-00169,2023-01-01,2023-01-09,2023-01-09,SUP-016,Great Wall Containers,China,Packaging,Wooden Pallets,Manufacturing,15.62,247,3858.14,Net 15,True,False
PO-2023-00280,2023-01-01,2023-02-02,2023-02-02,SUP-036,Golden Dragon Components,China,Electronics,Connector Kit CK-8,Corporate,4.3,927,3986.1,Net 45,True,False
PO-2023-00544,2023-01-01,2023-01-28,2023-01-28,SUP-051,Shenzhou Transport,China,Logistics,FTL Freight (per load),Retail Operations,1645.2,4,6580.8,Net 30,True,False
PO-2023-00924,2023-01-01,2023-01-11,2023-01-11,SUP-105,Krakow Consulting,Poland,Professional Services,Training Programme,Manufacturing,4277.49,2,8554.98,Net 45,True,False
PO-2023-00347,2023-01-01,2023-02-01,2023-02-19,SUP-029,Great Wall Components,China,Electronics,Sensor Module SM-3,Field Services,28.11,560,15741.6,Net 45,True,False
PO-2023-00514,2023-01-01,2023-01-26,2023-02-12,SUP-046,Thames Industrial Supply,UK,MRO,Hydraulic Fluid (drum),Field Services,210.72,14,2950.08,Net 45,False,False
PO-2023-00186,2023-01-01,2023-01-08,2023-01-08,SUP-016,Great Wall Containers,China,Packaging,Corrugated Boxes (per 1000),Corporate,666.98,11,7336.78,Net 30,True,False
PO-2023-00193,2023-01-01,2023-01-17,2023-01-17,SUP-016,Great Wall Containers,China,Packaging,Stretch Film Rolls,Field Services,41.75,165,6888.75,Net 30,False,False
PO-2023-00445,2023-01-01,2023-01-25,2023-01-25,SUP-038,Bergmann MRO Services,Germany,MRO,Safety Gloves (per 100),R&D,106.19,50,5309.5,Net 30,True,False
PO-2023-00268,2023-01-01,2023-01-19,2023-01-19,SUP-016,Great Wall Containers,China,Packaging,Printed Labels (per 1000),R&D,46.06,54,2487.24,Net 30,False,False
PO-2023-00437,2023-01-01,2023-01-25,2023-01-25,SUP-040,Ganga MRO Services,India,MRO,Hydraulic Fluid (drum),Field Services,240.35,5,1201.75,Net 15,True,False
PO-2023-00412,2023-01-01,2023-01-28,2023-01-28,SUP-038,Bergmann MRO Services,Germany,MRO,Safety Gloves (per 100),R&D,100.91,18,1816.38,Net 30,True,False
PO-2023-00184,2023-01-01,2023-01-29,2023-01-29,SUP-016,Great Wall Containers,China,Packaging,Bubble Wrap Rolls,R&D,28.22,64,1806.08,Net 45,True,False
PO-2023-00618,2023-01-01,2023-01-25,2023-01-25,SUP-061,Shenzhou IT Solutions,China,IT Services,"SaaS Licences (per seat, annual)",Corporate,393.63,17,6691.71,Net 15,True,False
PO-2023-00629,2023-01-01,2023-01-27,2023-01-27,SUP-057,Bharat Digital Systems,India,IT Services,Network Equipment Bundle,Corporate,2986.85,1,2986.85,Net 45,True,False
PO-2023-00337,2023-01-01,2023-01-10,2023-01-11,SUP-026,Great Wall Circuits,China,Electronics,PCB Assembly A-11,Field Services,56.45,500,28225.0,Net 60,False,False
PO-2023-00881,2023-01-01,2023-01-10,2023-01-10,SUP-102,Frontier Consulting,USA,Professional Services,Audit & Compliance Review,Field Services,9250.17,1,9250.17,Net 45,False,False
PO-2023-00860,2023-01-01,2023-01-23,2023-01-23,SUP-095,Busan Machinery,South Korea,Machinery,Compressor Unit,Field Services,10411.19,1,10411.19,Net 15,True,False
PO-2023-00857,2023-01-01,2023-01-09,2023-01-09,SUP-095,Busan Machinery,South Korea,Machinery,Precision Jig Set,Field Services,2199.38,3,6598.14,Net 15,True,False
