supplier_id,supplier_name,supplier_country,category,total_spend,po_count,on_time_rate,late_rate,avg_delay_days,reject_rate,price_volatility,off_contract_share,business_risk_score,business_risk_tier,anomaly_score,ai_anomaly_flag,final_risk_score,final_risk_tier
SUP-018,Great Wall Packaging,China,Packaging,628062.5700,125,0.0400,0.9600,10.4400,0.1600,1.4244,0.1360,93.4000,High,100.0000,Review,95.4000,High
SUP-008,Fujikawa Resources,Japan,Raw Materials,12990183.0100,637,0.0408,0.9592,10.6939,0.1130,1.0369,0.1507,92.3000,High,97.2000,Review,93.8000,High
SUP-046,Thames Industrial Supply,UK,MRO,4896798.2700,1848,0.0552,0.9448,10.4968,0.1169,0.8070,0.1380,92.8000,High,93.4000,Normal,93.0000,High
SUP-029,Great Wall Components,China,Electronics,6746321.8300,384,0.0547,0.9453,10.8177,0.1094,0.8219,0.1458,91.4000,High,95.3000,Review,92.6000,High
SUP-063,Cascade Technologies,USA,IT Services,294435.0200,48,0.0000,1.0000,10.2083,0.1042,0.5254,0.1250,89.8000,High,99.1000,Review,92.6000,High
SUP-078,Baltic Workplace,Poland,Office Supplies,187468.9500,193,0.0725,0.9275,11.0052,0.0984,0.7102,0.1347,88.9000,High,98.1000,Review,91.7000,High
SUP-015,Bharat Packaging,India,Packaging,39222.4500,8,0.6250,0.3750,0.5000,0.0000,2.1059,0.2500,45.8000,Medium,92.5000,Normal,59.8000,Medium
SUP-080,Jade Harbor Chem Industries,China,Chemicals,71442.5900,15,0.6667,0.3333,0.8000,0.0000,0.5352,0.2667,44.5000,Low,89.6000,Normal,58.0000,Medium
SUP-011,Azteca Pack Solutions,Mexico,Packaging,16616.7200,5,0.8000,0.2000,0.2000,0.0000,1.8887,0.4000,40.3000,Low,94.3000,Review,56.5000,Medium
SUP-088,Bharat Specialty Chem,India,Chemicals,22486.7100,3,0.6667,0.3333,1.3333,0.0000,0.3903,0.0000,38.7000,Low,96.2000,Review,56.0000,Medium
SUP-094,Shenzhou Chem Industries,China,Chemicals,324232.8000,50,0.8800,0.1200,0.3200,0.0600,0.4597,0.1400,42.5000,Low,81.1000,Normal,54.1000,Medium
SUP-017,Bharat Containers,India,Packaging,159054.1300,37,0.8378,0.1622,0.3784,0.0270,1.5380,0.2432,40.4000,Low,84.9000,Normal,53.8000,Medium
SUP-012,Del Norte Containers,Mexico,Packaging,91482.5700,21,0.9048,0.0952,0.1905,0.0476,1.5072,0.1905,39.7000,Low,83.0000,Normal,52.7000,Medium
SUP-085,Sterling Chem Industries,USA,Chemicals,17486.2000,4,0.7500,0.2500,0.5000,0.0000,0.7252,0.2500,39.5000,Low,78.3000,Normal,51.1000,Medium
SUP-030,Sterling Semitech,USA,Electronics,350282.4800,21,0.9048,0.0952,0.0952,0.0476,0.9349,0.0476,36.0000,Low,85.8000,Normal,50.9000,Medium
SUP-089,Pioneer Chem Industries,USA,Chemicals,65105.7300,10,0.9000,0.1000,0.1000,0.0000,0.6069,0.4000,35.2000,Low,86.8000,Normal,50.7000,Medium
SUP-106,Frontier Advisory,USA,Professional Services,519128.2100,58,0.8448,0.1552,0.4655,0.0345,0.3210,0.1034,38.2000,Low,79.2000,Normal,50.5000,Medium
SUP-084,Ganga Specialty Chem,India,Chemicals,132354.3000,23,0.8696,0.1304,0.3043,0.0435,0.5534,0.0870,38.2000,Low,73.6000,Normal,48.8000,Medium
