supplier_id,supplier_name,supplier_country,category,total_spend,po_count,on_time_rate,late_rate,avg_delay_days,reject_rate,price_volatility,off_contract_share,risk_score,risk_tier
SUP-018,Great Wall Packaging,China,Packaging,628062.57,125,0.04,0.96,10.44,0.16,1.4243772700752915,0.136,93.4,High
SUP-046,Thames Industrial Supply,UK,MRO,4896798.27,1848,0.05519480519480519,0.9448051948051948,10.496753246753247,0.11688311688311688,0.8069603665700176,0.137987012987013,92.8,High
SUP-008,Fujikawa Resources,Japan,Raw Materials,12990183.01,637,0.04081632653061224,0.9591836734693877,10.693877551020408,0.1130298273155416,1.0368506917821445,0.15070643642072212,92.3,High
SUP-029,Great Wall Components,China,Electronics,6746321.83,384,0.0546875,0.9453125,10.817708333333334,0.109375,0.8218978469419923,0.14583333333333337,91.4,High
SUP-063,Cascade Technologies,USA,IT Services,294435.02,48,0.0,1.0,10.208333333333334,0.10416666666666667,0.525356730860244,0.125,89.8,High
SUP-078,Baltic Workplace,Poland,Office Supplies,187468.95,193,0.07253886010362694,0.927461139896373,11.005181347150259,0.09844559585492228,0.7102468155207006,0.13471502590673579,88.9,High
SUP-015,Bharat Packaging,India,Packaging,39222.45,8,0.625,0.375,0.5,0.0,2.105885598855059,0.25,45.8,Medium
SUP-080,Jade Harbor Chem Industries,China,Chemicals,71442.59,15,0.6666666666666666,0.33333333333333337,0.8,0.0,0.53515150287705,0.2666666666666667,44.5,Low
SUP-094,Shenzhou Chem Industries,China,Chemicals,324232.8,50,0.88,0.12,0.32,0.06,0.4596713714344282,0.14,42.5,Low
SUP-017,Bharat Containers,India,Packaging,159054.13,37,0.8378378378378378,0.16216216216216217,0.3783783783783784,0.02702702702702703,1.5379542395646089,0.2432432432432432,40.4,Low
SUP-011,Azteca Pack Solutions,Mexico,Packaging,16616.72,5,0.8,0.19999999999999996,0.2,0.0,1.8886604759411445,0.4,40.3,Low
SUP-012,Del Norte Containers,Mexico,Packaging,91482.57,21,0.9047619047619048,0.09523809523809523,0.19047619047619047,0.047619047619047616,1.5072461708977427,0.19047619047619047,39.7,Low
SUP-085,Sterling Chem Industries,USA,Chemicals,17486.2,4,0.75,0.25,0.5,0.0,0.7252044793390585,0.25,39.5,Low
SUP-088,Bharat Specialty Chem,India,Chemicals,22486.71,3,0.6666666666666666,0.33333333333333337,1.3333333333333333,0.0,0.39032342668226305,0.0,38.7,Low
SUP-023,Schwarzwald Circuits,Germany,Electronics,1346224.7,85,0.8941176470588236,0.10588235294117643,0.29411764705882354,0.03529411764705882,0.8625100629356853,0.22352941176470587,38.7,Low
SUP-084,Ganga Specialty Chem,India,Chemicals,132354.3,23,0.8695652173913043,0.13043478260869568,0.30434782608695654,0.043478260869565216,0.5534198865754896,0.08695652173913049,38.2,Low
SUP-106,Frontier Advisory,USA,Professional Services,519128.21,58,0.8448275862068966,0.15517241379310343,0.46551724137931033,0.034482758620689655,0.32101620518726737,0.10344827586206895,38.2,Low
SUP-067,Schwarzwald Workplace,Germany,Office Supplies,52130.36,50,0.84,0.16000000000000003,0.52,0.02,0.6695943948681845,0.19999999999999996,37.9,Low
SUP-026,Great Wall Circuits,China,Electronics,1197009.98,63,0.8095238095238095,0.19047619047619047,0.49206349206349204,0.015873015873015872,0.8697641368998159,0.1428571428571429,37.1,Low
SUP-087,Jade Harbor Specialty Chem,China,Chemicals,1379428.48,242,0.8842975206611571,0.11570247933884292,0.2809917355371901,0.028925619834710745,0.4624567761260566,0.16115702479338845,36.3,Low
SUP-099,Taegu Consulting,South Korea,Professional Services,561564.06,65,0.8615384615384616,0.1384615384615384,0.2153846153846154,0.03076923076923077,0.39889026315692033,0.10769230769230764,36.3,Low
SUP-030,Sterling Semitech,USA,Electronics,350282.48,21,0.9047619047619048,0.09523809523809523,0.09523809523809523,0.047619047619047616,0.9349263090151838,0.04761904761904767,36.0,Low
SUP-006,Adler Metals,Germany,Raw Materials,13568470.46,581,0.8726333907056799,0.1273666092943201,0.2874354561101549,0.027538726333907058,1.0321633555431038,0.12908777969018936,35.8,Low
SUP-089,Pioneer Chem Industries,USA,Chemicals,65105.73,10,0.9,0.09999999999999998,0.1,0.0,0.6068901827327072,0.4,35.2,Low
SUP-003,Jade Harbor Alloys,China,Raw Materials,10388962.85,456,0.868421052631579,0.13157894736842102,0.3706140350877193,0.017543859649122806,1.015244743845765,0.16666666666666663,35.0,Low
SUP-058,Del Norte Technologies,Mexico,IT Services,49721.26,9,0.7777777777777778,0.2222222222222222,0.6666666666666666,0.0,0.6125382223278523,0.11111111111111116,34.9,Low
SUP-071,Redwood Supplies Co,USA,Office Supplies,42677.9,41,0.7804878048780488,0.2195121951219512,0.5365853658536586,0.0,0.5697002103427121,0.12195121951219512,34.8,Low
SUP-043,Great Wall Maintenance Co,China,MRO,886208.16,294,0.8877551020408163,0.11224489795918369,0.32653061224489793,0.023809523809523808,0.8034093077562261,0.1428571428571429,34.6,Low
